particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,1,190,[0.99999889 0.99999776],1.2774534531761681e-12
40,0.5,1,1,178,[1. 1.],2.2825504493086957e-17
40,0.5,1,1,307,[1. 1.],6.428593502841245e-23
40,0.5,1,1,410,[1. 1.],1.1738582999957488e-19
40,0.5,1,1,208,[0.99999992 0.99999984],6.330037429495825e-15
40,0.5,1,1,242,[1. 1.],8.147497907262854e-21
40,0.5,1,1,422,[1. 1.],9.663546088957395e-30
40,0.5,1,1,192,[1. 1.],1.0760971211060863e-18
40,0.5,1,1,224,[0.9999995  0.99999901],2.5053971436798344e-13
40,0.5,1,1,374,[1.00000002 1.00000004],3.1831154603381307e-16
40,0.5,1,1,198,[1. 1.],7.284543362760594e-19
40,0.5,1,1,232,[1. 1.],1.6400447376041108e-20
40,0.5,1,1,955,[1.00000021 1.00000042],4.545812261993182e-14
40,0.5,1,1,295,[1.00000004 1.00000007],1.2979057646245848e-15
40,0.5,1,1,173,[1.00000001 1.00000003],1.996587152679439e-16
40,0.5,1,1,233,[1. 1.],5.939402903997721e-25
40,0.5,1,1,225,[1. 1.],1.6038213741434535e-18
40,0.5,1,1,625,[1.00000001 1.00000002],1.3379386285517032e-16
40,0.5,1,1,227,[1.00000001 1.00000001],4.799946995885453e-17
40,0.5,1,1,481,[1. 1.],5.88962764762393e-20
40,0.5,1,1,201,[0.99999998 0.99999996],4.4271848419482363e-16
40,0.5,1,1,173,[0.99999994 0.99999987],4.1120572071904274e-15
40,0.5,1,1,372,[1.00000061 1.0000012 ],3.807254851995107e-13
40,0.5,1,1,246,[1. 1.],8.178639001114261e-21
40,0.5,1,1,179,[0.99999999 0.99999998],7.783203545814419e-17
40,0.5,1,1,158,[1.         1.00000001],1.685498008807135e-17
40,0.5,1,1,519,[0.99999999 0.99999998],7.79164523471323e-17
40,0.5,1,1,220,[1. 1.],4.7853782802503715e-18
40,0.5,1,1,694,[1. 1.],0.0
40,0.5,1,1,218,[1.00000009 1.00000017],7.725547937451502e-15
40,0.5,1,1,242,[1.         1.00000001],3.1464976593239754e-17
40,0.5,1,1,365,[1.00000001 1.00000002],7.97743777683775e-17
40,0.5,1,1,277,[1.00000005 1.00000011],3.0589480687568957e-15
40,0.5,1,1,433,[0.99999997 0.99999994],1.9738125785674834e-15
40,0.5,1,1,640,[1. 1.],0.0
40,0.5,1,1,302,[1. 1.],8.834721017750204e-21
40,0.5,1,1,363,[0.99999995 0.99999989],2.8094392897979777e-15
40,0.5,1,1,244,[1. 1.],2.277118302220596e-19
40,0.5,1,1,695,[1. 1.],1.0532071389384639e-19
40,0.5,1,1,234,[1. 1.],1.8209570514963106e-18
40,0.5,1,1,724,[1. 1.],1.842586789750636e-26
40,0.5,1,1,536,[1. 1.],3.1211250896839535e-18
